UID,Quiz1_avg_similarity,Quiz1_is_attended,Quiz2_avg_similarity,Quiz2_is_attended
9830856,0.5643179975119653,1.0,0.5893357949335917,1.0
8435496,0.68216856989795,1.0,0.5358380280628362,1.0
7817361,0.6587706547736516,1.0,0.5310008619063243,1.0
1764665,0.6325822636040622,1.0,0.5204894695916672,1.0
4380745,0.7148667538255159,1.0,0.5734425724467224,1.0
6897869,0.6232459966180428,1.0,0.5497133688689612,1.0
7214465,0.730784778789016,1.0,0.48776289323187627,1.0
4731282,0.6001395693123974,1.0,0.5169174699543734,1.0
8783086,0.7258417548958332,1.0,0.5687762597617859,1.0
6194008,0.6368655835835627,1.0,0.5431639034407446,1.0
1762204,0.7165086498183623,1.0,0.536787354032403,1.0
8190737,0.6357166958808037,1.0,0.5214922940174708,1.0
6275288,0.7591382017945838,1.0,0.43748681863312305,1.0
3659398,0.7032249522061614,1.0,0.533922092602396,1.0
6202193,0.5353707249797707,1.0,0.45305891485828753,1.0
5361565,0.5180770409355842,1.0,0.4876057686159394,1.0
6343320,0.519296781055548,1.0,0.7079569011884437,1.0
2103960,0.5662270417271666,1.0,0.6579024805351749,1.0
2384475,0.5826769934790806,1.0,0.6468318930714957,1.0
7732416,0.6597834974293882,1.0,0.7182454738398322,1.0
2786122,0.4237079186244524,1.0,0.604418499462304,1.0
4810237,0.6795885970236164,1.0,0.621677792996333,1.0
6094496,0.5908991830900712,1.0,0.6606609251201144,1.0
1889298,0.5691295716823354,1.0,0.6095784485278138,1.0
3688139,0.44466003831935313,1.0,0.6947080940108462,1.0
2179244,0.5098306924826145,1.0,0.7259033406646086,1.0
5281670,0.6125074981153863,1.0,0.6920400111539671,1.0
8862077,0.6668970737987843,1.0,0.7170745601469062,1.0
9245287,0.5152680613158531,1.0,0.7357349519701781,1.0
9367691,0.6312859970709418,1.0,,
4275079,0.6401899909055128,1.0,0.6946769035432228,1.0
9164612,0.5311853046304288,1.0,0.6901049894118279,1.0
4856424,0.591451742972001,1.0,0.5115537041988052,1.0
8059049,0.5500164473495293,1.0,0.6763155919712123,1.0
4114373,0.6155040233853045,1.0,0.7096542025359504,1.0
6429016,0.5446706721940393,1.0,0.6883793364244093,1.0
8857652,0.49642040637928236,1.0,0.6862085123914632,1.0
7374887,0.6842873686360287,1.0,0.6134637196920295,1.0
3963286,0.5134488604987408,1.0,,
4540765,0.6686993398139801,1.0,0.654210458056228,1.0
6914659,0.5870978051782639,1.0,0.5699687043430897,1.0
5628146,0.583789689021943,1.0,0.6675280565155953,1.0
6494434,0.5758484819389882,1.0,0.7248680270523058,1.0
5187413,0.6745933913988202,1.0,0.6845742546987112,1.0
9167236,0.5522277924527104,1.0,0.7243657485002839,1.0
1280995,0.5025160064537882,1.0,0.5660376077300038,1.0
9905145,0.4637916370000087,1.0,0.715377938568824,1.0
6418019,0.6972586279548041,1.0,0.6695646871265281,1.0
8700334,0.6531903404878225,1.0,0.694939136205821,1.0
4779274,0.46874970412939565,1.0,0.6496983399723086,1.0
6157698,0.5463770869886498,1.0,,
6539697,0.6293915670891483,1.0,0.7243303010398706,1.0
2051651,,,0.15654341988763398,1.0
8964453,,,0.5721417012608336,1.0
5902250,,,0.6150885919623955,1.0
2112376,,,0.08543434844873406,1.0
